,CH,CS,CU,EP,FA,FC,FF,FO,FS,IN,KC,KN,PO,SI,SL,ST,SV,UN
2016,10.23284080981502,0.0,8.449500512781555,0.011395145667945455,0.0,5.614008432407794,34.8957344171383,0.03418543700383637,1.8782998442663426,0.40262848026740605,2.0074448285030577,0.8185512971474151,0.026588673225206066,20.906293918790595,14.496524480571276,0.09685873817753637,0.1272457932920576,0.0018991909446575757
2018,9.71034335603407,0.0,7.846867831931578,0.014225004000782375,0.032006259001760344,5.293479613791141,35.660306904461315,0.04089688650224933,1.7799036255978946,0.0,2.6654101246465975,0.0,0.008890627500488985,20.368427603620262,15.354113693344477,0.954853393552517,0.2702750760148651,0.0
2020,11.593727065549075,0.02703851056433234,8.030437637606704,0.0,0.02317586619799915,7.958978716829542,34.043416122677584,0.0,2.0240256479585925,0.0,2.833249642705396,0.0,0.007725288732666383,15.398431766387269,16.375680791069566,1.5122252694194447,0.17188767430182703,0.0
2022,11.106111870995608,0.019796990857389677,7.260096465337269,0.00719890576632352,0.18357209704124972,7.310488805701533,33.69807789216039,0.0,1.9347059246994456,0.0,2.0390900583111367,0.0,0.00179972644158088,14.934130012238139,17.421351954502914,3.6588438557339287,0.4247354402130876,0.0
2024,10.543263176830365,0.01618996222342148,5.862565209570066,0.007195538765965102,0.11872638963842418,8.566288900881453,30.642201834862387,0.09174311926605505,2.986148587875517,0.0,1.795286922108293,0.12052527432991546,0.007195538765965102,16.207951070336392,15.27612880014391,7.393416082029142,0.36517359237272895,0.0
2025,10.06832140131555,0.04360940509503217,5.6946614819929495,0.030889995275647782,0.0999382200094487,8.233092270232948,32.01838863248174,0.0726823418250536,3.744957662535887,0.0,1.4118544899516663,0.007268234182505361,0.0090852927281317,15.290547661445652,14.434713086455645,8.32576225605989,0.5124105098666278,0.0018170585456263402
2026,11.291547797903407,0.011816539779537128,6.62907881632033,0.12998193757490842,0.025321156670436707,7.771907020712707,29.99713026891068,0.09622039534765948,3.374466145613532,0.0,1.8349398200509799,0.0,0.001688077111362447,16.86895457384493,13.11467107817485,8.301963233680516,0.5503131383041577,0.0
